Coding:Level1,Coding:Level2,message
Community,Community: Response,"['Anyone', 'cooking', 'lion', 'fish', 'tonight']"
Community,Community: Thanks,"['Everywhere', 'look', 'see', 'Roatan', 'Marine', 'Park', 'Great', 'Re-usable', 'bags', 'ladies']"
Action,Action: Help,"['We', 'looking', 'help', 'West', 'Bay', 'area', 'Our', 'Christi', 'Etches', 'Bay', 'Islands', 'Coastal', 'Cleanup', 'committee', 'needs', 'someone', 'help', 'acquisition', 'materials', 'coordinate', 'volunteers', 'West', 'Bay', 'event', 'Sunday', 'June', '30th', 'Please', 'contact', 'office', '244-4206', '2445-4208', 'Christi', 'directly', '3289', '1213']"
Action,Action: Promo,"['Attention', 'photographers', 'time', 'year', 'launch', '2013', 'underwater', 'photography', 'competition', 'Have', 'chance', 'photos', '2014', 'RMP', 'calendar']"
Information,Information,"['While', 'patrolling', 'Palmetto', 'Turquoise', 'Bay', 'Park', 'Rangers', 'stumbled', 'upon', '300ft', 'monofilament', 'net', 'underneath', 'tree', 'One', 'less', 'net', 'reef', 'always', 'good', 'day', 'books']"
Information,Information,"['While', 'assisting', 'searching', 'missing', 'person', 'Park', 'Rangers', 'found', 'several', 'fishermen', 'spearguns', 'around', 'Pristine', 'Bay', 'All', 'product', 'equipment', 'confiscated', 'involved', 'given', 'warnings']"
Action,Action: Volunteer,"['Coming', 'June', '28th', 'Friday', 'Schools', 'June', '30th', 'Sunday', 'Communities', 'Businesses', 'The', '2nd', 'Annual', 'Bay', 'Islands', 'Coastal', 'Cleanup', 'We', 'still', 'accepting', 'donations', 'signing', 'volunteers', '\\r\\nFor', 'meeting', 'points', 'please', 'call', 'Christi', '3289', '1213']"
Action,Action: Help,"['We', 'actively', 'looking', 'coordinator', 'Bay', 'Islands', 'Coastal', 'Clean', 'Up', 'West', 'Bay', 'area', 'please', 'contact', 'Christi', '3289', '1213', 'interested']"
Community,Community: Thanks,"['Great', 'Job', 'Arch', 'Family', 'everyone', 'French', 'Cay', 'area', 'This', 'great', 'example', 'small', 'group', 'concerned', 'citizens', 'really', 'make', 'difference']"
Community,Community: Response,"['Wow', 'How', 'many', 'diveshops', 'Roatan', 'going', 'get', 'involved', 'year', 'clean', 'Let', 'show', 'Utila', ""'re"", 'ones', 'care']"
Action,Action: Promo,"['We', 'cleaning', 'Mangrove', 'Bight', 'Area', 'Miguel', 'Paz', 'Barahona', 'Friday', 'June', '28th', '7-10', 'AM', 'Please', 'come', 'join', 'us']"
Action,Action: Promo,"['Be', 'look', 'sign', 'sheet', 'Bay', 'Islands', 'Coastal', 'Cleanup', 'Friday', 'school', 'meeting', 'Miguel', 'Paz', 'Barahona', '7-11AM', 'Sunday', 'meeting', 'gas', 'station', '9-1ish']"
Action,Action: Promo,"['Lionfish', 'licensing', 'taking', 'place', 'afternoon', 'Half', 'Moon', 'Bay', 'Please', '4pm', 'sharp', 'participate', 'workshop', 'Become', 'trained', 'hunter', 'part', 'conserving', 'Roatan', 'reefs']"
Information,Information,"['2', 'minors', 'caught', 'spearing', 'fish', 'Mangrove', 'Bight', 'Flowers', 'Bay', 'Their', 'gear', 'confiscated', 'underage', 'made', 'pick', 'trash']"
Information,Information,"['Around', '5pm', 'last', 'night', 'received', 'tip', 'informant', 'boat', 'setting', 'turtle', 'net', 'near', 'Palmetto', 'With', '3', 'Park', 'Rangers', '2', 'Police', 'boat', 'sped', 'east', 'confiscated', 'net', 'Our', 'Rangers', 'searching', 'turtle', 'nets', 'time', 'always', 'good', 'one', 'less', 'water']"
Information,Information,"['After', 'success', 'confiscating', 'turtle', 'net', 'patrol', 'boat', 'east', 'Rangers', 'decided', 'head', 'coast', 'managed', 'confiscate', 'another', 'net', 'time', 'huge', 'monofilament', 'net', 'They', 'also', 'found', 'fish', 'trap', 'set']"
Action,Action: Promo,"['2nd', 'Annual', 'Bay', 'Islands', 'Coastal', 'Cleanup']"
Action,Action: Promo,"['It\\u2019s', 'time', 'year', 'RMP', 'underwater', 'photo', 'competition', 'You', 'invited', 'send', '6', 'photos', 'fall', 'within', '6', 'categories', 'They', 'must', 'taken', 'Roatan', 'underwater', 'Please', 'attach', 'location', 'name', 'category', 'photo', 'submitted', 'The', 'deadline', 'July', '15th', 'submitted', 'photos', 'available', 'viewing', 'facebook', 'The', 'Best', 'Find', 'category', 'judged', '\\u201cyou\\u201d', 'facebook', 'votes', 'winning', 'group', 'All', 'categories', 'judged', 'independent', 'adjudicators', 'winners', 'appear', '2014', 'RMP', 'calendar']"
Action,Action: Promo,"['Bay', 'Islands', 'Coastal', 'Cleanup']"
Community,Community: Thanks,"['Thank', 'You', 'everyone', 'came', 'businesses', 'donated', 'material', 'services', 'Sunday', '\\r\\nEspecially', 'West', 'End', 'Patronato', 'South', 'Shore', 'Canopy', 'Sundowner', 'Beach', 'Bar', 'CORAL', 'CEM', 'Argentinean', 'Grill', 'Buena', 'Vida', 'Cafe', 'Escondido', 'Waves', 'Art', 'Guatemalan', 'Gift', 'Shop', 'Coconut', 'Tree', 'Divers', 'Enomis', 'Divers', 'Ocean', 'Connections', 'West', 'Bay', 'Divers']"
Information,Information,"['While', 'assisting', 'search', 'missing', 'vessel', 'Park', 'Rangers', 'morning', 'came', 'upon', 'another', 'net', 'near', 'Turquoise', 'Bay', 'This', '4th', 'net', 'past', 'week', 'confiscated', 'area', 'Hopefully', 'removal', 'mile', 'net', 'greatly', 'benefit', 'marine', 'life', 'area', 'They', 'also', 'confiscated', 'set', 'snorkel', 'gear', 'spear']"
Information,Information,"['Our', 'Park', 'Ranger', 'based', 'Coxen', 'Hole', 'responsible', 'patrolling', 'Cordelia', 'Banks', 'came', 'across', 'net', 'spanning', 'several', 'hundred', 'feet', 'airport', 'Dixon', 'Cove', 'Sadly', 'within', 'net', '2', 'nurse', 'sharks', 'badly', 'decomposed', 'barely', 'recognizable', 'One', 'net', 'water', 'added', 'bonfire', 'taking', 'place', 'end', 'week']"
Information,Information,"['We', 'continue', 'today', 'search', '8', 'missing', 'sea', 'extend', 'search', 'asking', 'support', 'partners', 'Belize']"
Information,Information,"['We', 'happy', '8', 'people', 'found', 'US', 'Army', 'helicopter', 'picked', 'The', 'brought', 'Roatan', 'hands', 'doctors', 'making', 'sure', 'okay', 'Happy', 'day', 'families', 'Bay', 'Islands']"
Community,Community: Response,[]
Action,Action: Promo,"['It\\u2019s', 'time', 'year', 'RMP', 'underwater', 'photo', 'competition', 'You', 'invited', 'send', '6', 'photos', 'fall', 'within', '6', 'categories', 'They', 'must', 'taken', 'Roatan', 'underwater', 'Please', 'attach', 'location', 'name', 'category', 'photo', 'submitted', 'The', 'deadline', 'July', '15th', 'submitted', 'photos', 'available', 'viewing', 'facebook', 'The', 'Best', 'Find', 'category', 'judged', '\\u201cyou\\u201d', 'facebook', 'votes', 'winning', 'group', 'All', 'categories', 'judged', 'independent', 'adjudicators', 'winners', 'appear', '2014', 'RMP', 'calendar']"
Action,Action: Promo,"['It\\u2019s', 'time', 'year', 'RMP', 'underwater', 'photo', 'competition', 'You', 'invited', 'send', '6', 'photos', 'fall', 'within', '6', 'categories', 'They', 'must', 'taken', 'Roatan', 'underwater', 'Please', 'attach', 'location', 'name', 'category', 'photo', 'submitted', 'The', 'deadline', 'July', '15th', 'submitted', 'photos', 'available', 'viewing', 'facebook', 'The', 'Best', 'Find', 'category', 'judged', '\\u201cyou\\u201d', 'facebook', 'votes', 'winning', 'group', 'All', 'categories', 'judged', 'independent', 'adjudicators', 'winners', 'appear', '2014', 'RMP', 'calendar']"
Community,Community: Response,"['This', 'video', 'shown', 'Louisiana', 'found', 'boaters', 'We', 'happy', 'part', 'search', 'elated', 'search', 'ended', 'success', '\\n\\nHopefully', 'lesson', 'everyone', 'thinking', 'making', '20', 'mile', 'crossing', 'ill', 'prepared', 'We', 'always', 'lucky', '9']"
Information,Information,"['Here', 'approximate', 'location', 'boat', '8', 'passengers', 'found']"
Community,Community: Response,"['Did', 'anyone', 'get', 'copy', 'Diario', 'el', 'Tiempo', 'yesterday', 'Pages', '6', '7', 'Bay', 'Islands', 'Coastal', 'Clean', 'Up', 'We', 'would', 'like', 'copy']"
Community,Community: Response,"['National', 'News', 'Coverage', 'Great', 'Job', 'Bay', 'Islands', 'Coastal', 'Clean', 'Up', 'everyone', 'helped']"
Action,Action: Sell,"['Come', 'visit', 'Eco', 'Store', 'West', 'End']"
Action,Action: Sell,"['Come', 'Eco', 'Store', 'spend', '$', '30', 'receive', 'FREE', 'GIFT', 'reusable', 'shopping', 'bag', 'calendar', '\\r\\nValid', 'supplies', 'last', 'come', 'TODAY']"
Action,Action: Help,"['We', 'looking', 'Pick', 'Up', 'Truck', 'Double', 'Cab', 'Diesel', 'Efficient', 'gas', 'A/C', 'serious', 'issues', 'We', 'MAX', '$', '8k', 'need', 'get', 'vehicle', '\\nInbox', 'us', 'help']"
Action,Action: Promo,"['It\\u2019s', 'time', 'year', 'RMP', 'underwater', 'photo', 'competition', 'You', 'invited', 'send', '6', 'photos', 'fall', 'within', '6', 'categories', 'They', 'must', 'taken', 'Roatan', 'underwater', 'Please', 'attach', 'location', 'name', 'category', 'photo', 'submitted', 'The', 'deadline', 'July', '15th', 'submitted', 'photos', 'available', 'viewing', 'facebook', 'The', 'Best', 'Find', 'category', 'judged', '\\u201cyou\\u201d', 'facebook', 'votes', 'winning', 'group', 'All', 'categories', 'judged', 'independent', 'adjudicators', 'winners', 'appear', '2014', 'RMP', 'calendar']"
Action,Action: Promo,"['It\\u2019s', 'time', 'year', 'RMP', 'underwater', 'photo', 'competition', 'You', 'invited', 'send', '6', 'photos', 'fall', 'within', '6', 'categories', 'They', 'must', 'taken', 'Roatan', 'underwater', 'Please', 'attach', 'location', 'name', 'category', 'photo', 'submitted', 'The', 'deadline', 'July', '15th', 'submitted', 'photos', 'available', 'viewing', 'facebook', 'The', 'Best', 'Find', 'category', 'judged', '\\u201cyou\\u201d', 'facebook', 'votes', 'winning', 'group', 'All', 'categories', 'judged', 'independent', 'adjudicators', 'winners', 'appear', '2014', 'RMP', 'calendar']"
Community,Community: Thanks,"['Thank', 'You', 'West', 'End', 'Patronato', 'South', 'Shore', 'Canopy', 'Sundowner', 'Beach', 'Bar', 'CORAL', 'CEM', 'Cannibal', 'Cafe', 'Argentinean', 'Grill', 'Buena', 'Vida', 'Cafe', 'Escondido', 'Waves', 'Art', 'Guatemalan', 'Gift', 'Shop', 'Coconut', 'Tree', 'Divers', 'Enomis', 'Divers', 'Ocean', 'Connections', 'West', 'Bay', 'Divers']"
Action,Action: Promo,"['It\\u2019s', 'time', 'year', 'RMP', 'underwater', 'photo', 'competition', 'You', 'invited', 'send', '6', 'photos', 'fall', 'within', '6', 'categories', 'They', 'must', 'taken', 'Roatan', 'underwater', 'Please', 'attach', 'location', 'name', 'category', 'photo', 'submitted', 'The', 'deadline', 'July', '15th', 'submitted', 'photos', 'available', 'viewing', 'facebook', 'The', 'Best', 'Find', 'category', 'judged', '\\u201cyou\\u201d', 'facebook', 'votes', 'winning', 'group', 'All', 'categories', 'judged', 'independent', 'adjudicators', 'winners', 'appear', '2014', 'RMP', 'calendar']"
Action,Action: Promo,"['We', 'pleased', 'announce', 'releasing', 'turtle', 'today', '\\nThe', 'turtle', 'captivity', 'couple', 'months', 'concerned', 'community', 'members', 'rehabilitating', 'missing', '2', 'back', 'fins', 'He/She', 'West', 'End', 'released', 'Half', 'Moon', 'Bay', 'afternoon', '4pm']"
Action,Action: Promo,"['It\\u2019s', 'time', 'year', 'RMP', 'underwater', 'photo', 'competition', 'You', 'invited', 'send', '6', 'photos', 'fall', 'within', '6', 'categories', 'They', 'must', 'taken', 'Roatan', 'underwater', 'Please', 'attach', 'location', 'name', 'category', 'photo', 'submitted', 'The', 'deadline', 'July', '15th', 'submitted', 'photos', 'available', 'viewing', 'facebook', 'The', 'Best', 'Find', 'category', 'judged', '\\u201cyou\\u201d', 'facebook', 'votes', 'winning', 'group', 'All', 'categories', 'judged', 'independent', 'adjudicators', 'winners', 'appear', '2014', 'RMP', 'calendar']"
Action,Action: Promo,"['It\\u2019s', 'time', 'year', 'RMP', 'underwater', 'photo', 'competition', 'You', 'invited', 'send', '6', 'photos', 'fall', 'within', '6', 'categories', 'They', 'must', 'taken', 'Roatan', 'underwater', 'Please', 'attach', 'location', 'name', 'category', 'photo', 'submitted', 'The', 'deadline', 'July', '15th', 'submitted', 'photos', 'available', 'viewing', 'facebook', 'The', 'Best', 'Find', 'category', 'judged', '\\u201cyou\\u201d', 'facebook', 'votes', 'winning', 'group', 'All', 'categories', 'judged', 'independent', 'adjudicators', 'winners', 'appear', '2014', 'RMP', 'calendar']"
Community,Community: Thanks,"['Best', 'Find', 'Album', 'The', 'photo', 'likes', 'win', 'judging', 'stops', 'end', 'month', 'Good', 'luck', 'competitors']"
Action,Action: Promo,"['It\\u2019s', 'time', 'year', 'RMP', 'underwater', 'photo', 'competition', 'You', 'invited', 'send', '6', 'photos', 'fall', 'within', '6', 'categories', 'They', 'must', 'taken', 'Roatan', 'underwater', 'Please', 'attach', 'location', 'name', 'category', 'photo', 'submitted', 'The', 'deadline', 'July', '15th', 'submitted', 'photos', 'available', 'viewing', 'facebook', 'The', 'Best', 'Find', 'category', 'judged', '\\u201cyou\\u201d', 'facebook', 'votes', 'winning', 'group', 'All', 'categories', 'judged', 'independent', 'adjudicators', 'winners', 'appear', '2014', 'RMP', 'calendar']"
Community,Community: Thanks,"['Best', 'Find', 'Album', 'The', 'photo', 'likes', 'win', 'judging', 'stops', 'end', 'month', 'Good', 'luck', 'competitors']"
Information,Information,"['This', 'graph', 'indicates', '$', 'sale', 'user', 'fees', 'memberships', 'much', 'dive', 'shop', 'within', 'Sandy', 'Bay', 'West', 'End', 'West', 'Bay', 'generated', 'Marine', 'Park', '2013', 'We', 'would', 'like', 'say', 'huge', 'thank', 'supporters', 'big', 'small', 'comment', 'without', 'support', 'would', 'unable', 'fulfil', 'even', 'simplest', 'programs']"
Information,Information,"['This', 'graph', 'indicates', '$', 'sale', 'user', 'fees', 'memberships', 'much', 'dive', 'shop', 'outside', 'Sandy', 'Bay', 'West', 'End', 'West', 'Bay', 'generated', 'Marine', 'Park', '2013', 'We', 'would', 'like', 'say', 'huge', 'thank', 'supporters', 'big', 'small', 'without', 'support', 'would', 'unable', 'operate']"
Information,Information,"['Do', 'forget', 'The', 'Bay', 'Islands', 'Responsible', 'Seafood', 'Guide', 'Members', 'Here', 'reminder']"
Community,Community: Response,"['Let', 'see', 'captions', 'Caption', 'Needed']"
Community,Community: Response,"['Whale', 'shark', 'sighting', '2', '10', 'minutes', 'away', 'boat', 'wants', 'check', 'em']"
Information,Information,"['Read', 'latest', 'newsletter', 'find', 'RMP', 'to\\n']"
Community,Community: Thanks,"['Protect', 'Our', 'Pride', 'Community', 'Service', 'project', 'Be', 'look', 'new', 'CIGARETTE', 'BUT', 'BINS', 'Ash', 'Trays', 'Great', 'Idea', 'Great', 'Job']"
Information,Information,"['Our', 'Park', 'Rangers', 'headed', 'east', 'nights', 'ago', 'managed', 'confiscate', '2', 'monofilament', 'nets', 'first', '300+ft', 'net', 'lagoon', 'near', 'Turquoise', 'Bay', 'second', 'smaller', 'net', 'near', 'shore', 'That', '2km', 'nets', '2', 'months', 'removed', 'reef']"
Action,Action: Promo,"['You', 'guys', 'remember', 'turtle', 'release', 're-scheduled', 'Well', 'TODAY', 'IS', 'THE', 'DAY', 'The', 'turtle', 'en', 'route', 'released', '5PM', 'Half', 'Moon', 'Bay', 'front', 'Marine', 'Park', 'office', 'Bring', 'waterproof', 'cameras', 'swimsuits']"
Community,Community: Thanks,"['Sherman', 'turtle', 'heading', 'sea', 'Thanks', 'Arch', 'Family', 'keeping', 'safe', 'sound', 'French', 'Cay', 'months', 'He', 'strong', 'ready', 'open', 'water', 'Where', 'way']"
Information,Information,"['This', 'graph', 'indicates', '$', 'sale', 'user', 'fees', 'memberships', 'much', 'dive', 'shop', 'outside', 'Sandy', 'Bay', 'West', 'End', 'West', 'Bay', 'generated', 'Marine', 'Park', '2013', 'We', 'would', 'like', 'say', 'huge', 'thank', 'supporters', 'big', 'small', 'comment', 'without', 'support', 'would', 'unable', 'fulfil', 'even', 'simplest', 'programs']"
Information,Information,"['This', 'graph', 'indicates', '$', 'sale', 'user', 'fees', 'memberships', 'much', 'dive', 'shop', 'within', 'Sandy', 'Bay', 'West', 'End', 'West', 'Bay', 'generated', 'Marine', 'Park', '2013', 'We', 'would', 'like', 'say', 'huge', 'thank', 'supporters', 'big', 'small', 'comment', 'without', 'support', 'would', 'unable', 'fulfil', 'even', 'simplest', 'programs']"
Information,Information,"['With', 'yet', 'whale', 'sharks', 'spotted', 'busy', '10', 'days', 'involving', 'seeing', 'swimming', 'gentle', 'giants', 'We', 'ask', 'people', 'ensure', 'boat', 'captains', 'speed', 'sharks', 'keep', 'reasonable', 'distance', 'others', 'also', 'enjoy', 'experience']"
Information,Information,"['Bay', 'Islands', 'Voice', 'short', 'article', 'whale', 'sharks', ""'ve"", 'seeing', 'recently']"
Community,Community: Response,"['We', 'communicating', 'Whale', 'Shark', 'Researchers', 'area', 'mainly', 'Whale', 'Shark', 'Oceanic', 'Research', 'Center', 'WSORC', 'Utila', 'mentioned', 'influx', 'shark', 'sightings', 'last', 'weeks', 'They', 'asked', 'us', 'keep', 'track', 'sightings', 'following', 'criteria', '\\n\\nWhere', 'around', 'island', 'shark', 'seen\\nWhen', 'time', 'day', 'date', '\\nApproximate', 'size\\nGender\\nand', 'Photos', 'available', 'know', 'photos', 'happen', 'P', '\\n\\nWe', 'would', 'appreciate', 'anyone', 'saw', 'Whale', 'Shark', 'month', 'could', 'comment', 'sighting', 'hopefully', 'future', 'sightings', 'collaborate', 'detailed', 'data', '\\n\\nThanks']"
Information,Information,"['This', 'section', 'Management', 'Plan', 'National', 'Marine', 'Park', 'Bay', 'Islands', 'pertains', ""'Special"", 'Marine', 'Zones', 'i.e', 'Sandy', 'Bay-', 'West', 'End', 'If', 'would', 'like', 'complete', 'copy', 'please', 'feel', 'free', 'stop', 'office', 'give', 'copy', 'Unfortunately', 'big', 'email']"
Information,Information,"['Weather', 'Update', '\\nGood', 'Diving', 'Days', 'today', 'tomorrow', 'Weekend', 'looking', 'little', 'choppy', 'Check', 'Windfinder', 'link', 'details']"
Information,Information,"['Self', 'Explanatory']"
Community,Community: Thanks,"['Mangroove', 'The', 'Mangrove', 'Monitoring', 'team', 'Combination', 'many', 'different', 'island', 'organizations', 'Zolitur', 'BICA', 'Healthy', 'Reefs', 'RMP', 'carbon', 'sequestration', 'team', 'OSU', 'Thanks', 'Tyler', 'Rupesh', 'teaching', 'us', 'protocol']"
Community,Community: Response,"['The', 'possibilities', 'endless', 'tonight', 'feels', 'like', 'night']"
Information,Information,"['Awe', 'inspiring', 'message']"
Action,Action: Sell,"['Vinyl', 'shopping', 'bags', 'back', 'Only', 'LPS', '150', 'Get', 'em', ""'re"", 'hot', ""'re"", 'lovely']"
Action,Action: Sell,"['New', 'bags', 'FOR', 'SALE', 'Only', 'LPS', '100']"
Action,Action: Sell,"['Nuevas', 'bolsas', 'de', 'venta', 'Tienen', 'un', 'precio', 'de', '$', '5', '100lps']"
Information,Information,"['After', 'receiving', 'tip', '2', 'guys', 'apprehended', 'Mangrove', 'Bight', 'suspected', 'poaching', 'As', 'beach', 'full', 'trash', 'community', 'service', 'seemed', 'better', 'option', 'jail', 'After', 'filling', '24', 'large', 'trash', 'bags', 'plastic', 'afternoon', 'men', 'admitted', 'poach', 'worked', '6', 'weeks', 'To', 'enable', 'feed', 'families', 'took', 'trash', 'Coxen', 'Hole', 'able', 'sell', 'plastic', 'Hopefully', 'wo', 'find', 'guys', 'back', 'reef', 'know', 'lots', 'trash', 'still']"
Action,Action: Help,"['We', 'looking', 'participants', 'study', 'currently', 'going', 'Roatan', 'Hearing', 'Loss', 'Professional', 'Divers', '\\n\\nIf', 'diving', '5', 'years', 'longer', '30', 'minutes', 'spare', 'eligible', '\\n\\nThursday', 'Friday', 'September', '26th', '27th', 'FREE', 'PHYSICALS', 'AKR', 'cornerstone', 'clinic', 'given', 'meet', 'requirements', '\\n\\nFor', 'information', 'please', 'contact', 'Barbara', 'Acosta', '8737-8320']"
Action,Action: Promo,"['Are', 'curious', 'find', 'photo', 'made', 'calendar', 'WAIT', 'NO', 'MORE', 'We', 'pleased', 'announce', 'CALENDAR', 'LAUNCH', 'Roatan', 'Oasis', 'next', 'Thursday', 'September', '26th', 'We', 'start', 'drink', 'specials', '5PM', 'Be', 'look', 'event', 'invitation']"
Community,Community: AckCurrentEvent,"['Do', 'forget', 'FREE', 'PHYSICAL', 'Thursday', 'Friday', 'AKR', 'It', 'open', 'anyone', 'diving', '5', 'years', 'focused', 'ears', 'hearing', 'If', 'interested', 'get', 'touch', 'Dr.', 'Barbara', 'Acosta', '8737-8320', 'heading', 'tell']"
Community,Community: Thanks,"['Thank', 'West', 'Bay', 'Divers', 'They', 'took', 'initiative', 'tackled', 'trash', 'littering', 'beaches', 'last', 'days', 'It', 'one', 'big', 'bowl', 'plastic', 'soup']"
Action,Action: Promo,"['This', 'weeks', 'challenge', 'The', 'first', '5', 'people', 'bring', 'bag', 'decent', 'sized', 'marine', 'debris', 'plastic', 'given', 'one', 'new', 'RMP', 'backpack', 'bags', 'Should', 'hard', 'week']"
Action,Action: Promo,"['These', 'bags', 'given', 'first', '5', 'people', 'bring', 'bag', 'marine', 'debris']"
Action,Action: Help,"['We', 'currently', 'looking', 'apartment', 'volunteer', 'Anyone', 'vacancy']"
Community,Community: Response,"['Would', 'wear', 'LIONFISH', 'JEWELERY']"
Action,Action: Sell,"['Do', 'forget', '20', 'Lps', '$', '1', 'Rum', 'Punch', 'starting', '5', 'Tomorrow', '2014', 'Calendar', 'Launch', 'Roatan', 'Oasis']"
Information,Information,"['This', 'sickening', 'makes', 'think', 'plastic', 'use', 'daily', 'basis', 'things', ""'throw"", 'away', '``', 'away', ""''""]"
Community,Community: Thanks,"['Here', 'results', 'years', 'photo', 'competition', 'winners', '2014', 'RMP', 'calendar', 'available']"
Community,Community: Response,"['CALL', 'IN', 'TO', 'ROATAN', 'RADIO', '101.1', 'TO', 'WIN', 'A', 'FREE', 'RMP', 'CALENDAR', 'ALL', 'YOU', 'NEED', 'TO', 'KNOW', 'IS', 'WHO', 'WON', '1ST', 'PLACE', 'IN', 'OUR', ""'INVERTS"", 'CATEGORY', '\\n\\nPhone\\t9796-1760\\nEmail\\troatanradio', 'gmail.com\\nWebsite\\t']"
Community,Community: Thanks,"['Only', '2', 'people', 'far', 'completed', 'trash', 'challenge', 'challenge', 'bring', 'bag', 'sea', 'trash', 'trash', 'floating', 'ocean', 'reward', 'efforts', 'one', 'new', 'back', 'packs', 'Congrats', 'Will', 'Lainee', 'thanks', 'helping']"
Community,Community: Thanks,"['Effective', 'leadership', 'making', 'speeches', 'liked', 'leadership', 'defined', 'results', 'attributes.\\r\\nPeter', 'Drucker\\r\\n\\r\\nThank', 'Herbito', 'Woods', '3rd', 'person', 'take', 'advantage', '``', 'bring', 'bag', 'get', 'bag', 'challenge', ""''""]"
Action,Action: Promo,"['Bring', 'Bag', 'get', 'Bag', 'Challenge', 'still', 'going', '2', 'gorgeous', 'RMP', 'bags', 'give', 'away', 'All', 'bring', 'bag', 'OCEAN', 'PLASTIC', 'plastic', 'sea', 'MARINE', 'DEBRIS']"
Information,Information,"['On', 'Saturday', '29th', 'September', 'received', 'reports', 'people', 'diving', 'front', 'Jonesville', 'compressor', 'With', 'assistance', 'Navy', 'Park', 'Ranger', 'able', 'apprehend', '2', 'suspects', 'collected', '50', 'sea', 'cucumbers', 'several', 'lobster', 'The', 'boat', 'dive', 'gear', 'confiscated', 'sea', 'cucumbers', 'relocated', 'divers', 'sent', 'jail', '24hrs', 'Thank', 'reported', 'incident', 'Navy', 'fro', 'assisting']"
Information,Information,"['Today', 'patrolling', 'near', 'Turquoise', 'Bay', 'Park', 'Rangers', 'spotted', 'empty', 'dory', 'man', 'water', 'Upon', 'inspection', 'found', '7', 'undersized', 'lobster', '5', 'live', 'conch', '19', 'speared', 'fish', 'worst', 'live', 'speared', 'juvenile', 'green', 'turtle', 'board', 'The', 'dory', 'product', 'confiscated', 'along', 'speargun', 'hook', 'rod', 'found', 'water', 'The', 'turtle', 'currently', 'Maya', 'Key', 'looking', 'promising', 'shot', 'lung', 'A', 'case', 'filed', 'regarding', 'incident', 'work', 'relations', 'fishermen', 'Punta', 'Gorda']"
Community,Community: Thanks,"['The', 'turtle', 'rescued', 'yesterday', 'taken', 'Maya', 'Key', 'still', 'alive', 'looks', 'promosing', 'So', 'lets', 'keep', 'fingers', 'crossed', '\\nThanks', 'staff', 'Maya', 'Key']"
Information,Information,"['The', 'turtle', 'involved', 'incident', 'near', 'Turquoise', 'Bay', 'last', 'Friday', 'remarkably', 'well', 'considering', 'wound', 'suffered', 'With', 'care', 'staff', 'Maya', 'Key', 'eating', 'responding', 'well', 'antibiotics', 'keeping', 'infection', 'bay', 'Lets', 'keep', 'fingers', 'crossed', 'makes', 'speedy', 'recovery']"
Information,Information,"['The', 'entire', 'school', 'Punta', 'Gorda', 'came', 'West', 'field', 'trips', '60', 'students', 'teachers', 'went', 'Glass', 'Bottom', 'Boat', '60', 'went', 'gumbalimba', 'It', 'fun', 'filled', 'day', 'honoured', 'come', 'way', 'learn', 'protected', 'area']"
Community,Community: Response,"['\\nRoatan', 'top', '8', 'places', 'retire']"
Information,Information,"['For', 'Visitors', 'Residents', 'alike', 'would', 'like', 'swim', 'Whale', 'Sharks', 'And', 'dive', 'professionals', 'around', 'decided', '``', 'OK', ""''"", 'touch', 'sensitive', 'creatures', 'We', 'would', 'like', 'remind', 'everyone', 'LAWS', 'Whale', 'Shark', 'swimming', 'Please', 'look', 'posters', 'diveshop', 'near', 'If', 'would', 'like', 'poster', 'please', 'contact', 'us', 'info', 'roatanmarinepark.net']"
Community,Community: Response,"['Guess', 'lucky', 'responsible', 'It', 'could', 'worse']"
Community,Community: AckCurrentEvent,"['Bay', 'Islands', 'Responsible', 'Seafood', 'member', 'Sundowners', 'Beach', 'Bar', 'first', 'Lionfish', 'Sunday', 'come', 'support', 'good', 'cause', '-']"
Action,Action: Volunteer,"['We', 'clean', 'tomorrow', 'If', 'anyone', 'interested', 'please', 'call', 'christi', '3289', '1213']"
Action,Action: Promo,"['We', 'participating', 'Coastal', 'Cleanup', 'Sunday', '8-11', 'Weather', 'Permitting', '\\r\\n', 'We', 'meeting', 'Marine', 'Park', 'Office', '8AM', 'Please', 'bring', 'water', 'gloves']"
Action,Action: Promo,"['Getting', 'started', 'May', '2013']"
Community,Community: Thanks,"['With', 'representatives', 'island', 'meeting', 'open', 'members', 'site', 'It', 'good', 'time', 'good', 'food', 'good', 'people']"
Community,Community: Response,"['Website', 'need', 'little', 'spicing', 'Maybe', 'need', 'little', 'online', 'marketing', 'help', 'Check', 'Go', 'Blue', 'Central', 'America', 'YouTube', 'page', 'free', 'webinars']"
Community,Community: Response,"['Do', 'forget', 'Pinterest', 'page', 'Check', 'boards', 'Lionfish', 'recipes', 'handicrafts', 'fun', 'activities']"
Community,Community: Thanks,"['We', 'welcome', 'NABS', '-', 'The', 'National', 'Association', 'Black', 'Scuba', 'Divers', 'Roatan', 'week', 'We', 'presented', 'organization', 'sign', 'making', 'lion', 'fish', 'licenses', 'beach', 'cleanup', 'Friday', '\\nThanks', 'everyone', '20', 'signs', 'made', 'Great', 'Job', 'Thank', 'You']"
Community,Community: Response,"['Reports', 'streaming', 'abnormal', 'amounts', 'trash', 'littering', 'southside', 'island', 'What', 'think', 'Tell', 'us', 'ideas']"
